label,n_samples,n_attack,n_benign,tp,fn,fp,tn,recall,fpr,mean_score,median_score
DoS Hulk,172849,172849,0,154466,18383,0,0,0.8936470561009899,,14.60695743560791,12.651156425476074
DDoS,128016,128016,0,79629,48387,0,0,0.6220238095238095,,19.83683204650879,10.837345123291016
PortScan,90819,90819,0,493,90326,0,0,0.005428379524108392,,0.2457432895898819,0.17131242156028748
DoS GoldenEye,10286,10286,0,5280,5006,0,0,0.5133190744701536,,9.727571487426758,5.961337566375732
FTP-Patator,5933,5933,0,0,5933,0,0,0.0,,0.3029903173446655,0.15490643680095673
DoS slowloris,5385,5385,0,1032,4353,0,0,0.1916434540389972,,2.8764538764953613,0.8026119470596313
DoS Slowhttptest,5228,5228,0,3652,1576,0,0,0.6985462892119357,,5.927541255950928,6.595001220703125
SSH-Patator,3219,3219,0,0,3219,0,0,0.0,,0.16589218378067017,0.15368333458900452
Bot,1953,1953,0,43,1910,0,0,0.022017409114183307,,0.5676820874214172,0.15027879178524017
Web Attack � Brute Force,1470,1470,0,0,1470,0,0,0.0,,0.35993096232414246,0.2898620665073395
Web Attack � XSS,652,652,0,0,652,0,0,0.0,,0.39448827505111694,0.28930795192718506
Infiltration,36,36,0,17,19,0,0,0.4722222222222222,,417.378173828125,4.861827850341797
Web Attack � Sql Injection,21,21,0,0,21,0,0,0.0,,0.6086450815200806,0.2785211503505707
Heartbleed,11,11,0,11,0,0,0,1.0,,33.86921691894531,33.41635513305664
BENIGN,1593697,0,1593697,0,0,40572,1553125,,0.02545778777270711,2.261296272277832,0.21085527539253235
